"districts","risk_classes","total_frequency","total_area_sq_m","total_area_sq_km","percentage_risk"
"Manang","Very High",344,3440000,3.44,3.26499620349279
"Morang","Very High",4626,46260000,46.26,4.51475640224859
"Mugu","Very High",3684,36840000,36.84,3.8325496234031
"Mustang","Very High",62,620000,0.62,0.872133914755943
"Myagdi","Very High",4726,47260000,47.26,2.96436613622536
"Nawalpur","Very High",8997,89970000,89.97,4.5818437375867
"Nuwakot","Very High",7737,77370000,77.37,5.37949160084548
"Okhaldhunga","Very High",5672,56720000,56.72,4.67308199314527
"Palpa","Very High",11502,115020000,115.02,4.52570942915152
"Panchthar","Very High",7580,75800000,75.8,4.14311794221498
"Parasi","Very High",2637,26370000,26.37,5.59920163071174
"Parbat","Very High",2386,23860000,23.86,2.91217106869111
"Parsa","Very High",540,5400000,5.4,0.571597933779321
"Pyuthan","Very High",6380,63800000,63.8,3.58020673168651
"Ramechhap","Very High",9638,96380000,96.38,6.70987684403261
"Rasuwa","Very High",3155,31550000,31.55,4.71282395996714
"Rautahat","Very High",1028,10280000,10.28,1.80642440430168
"Rolpa","Very High",6006,60060000,60.06,2.49927177395864
"Rukum East","Very High",4211,42110000,42.11,3.67583515917562
"Rukum West","Very High",4754,47540000,47.54,3.73477885144159
"Rupandehi","Very High",3578,35780000,35.78,6.71748272754581
"Salyan","Very High",9676,96760000,96.76,3.89155449020877
"Sankhuwasabha","Very High",12424,124240000,124.24,4.06801415815617
"Saptari","Very High",1946,19460000,19.46,4.57656216928106
"Sarlahi","Very High",780,7800000,7.8,1.50219551652415
"Sindhuli","Very High",13064,130640000,130.64,3.63011909591584
"Sindhupalchok","Very High",10900,1.09e+08,109,4.62275753848764
"Siraha","Very High",1532,15320000,15.32,4.85209349464749
"Solukhumbu","Very High",6693,66930000,66.93,3.28677922154454
"Sunsari","Very High",2037,20370000,20.37,4.26427180807637
"Surkhet","Very High",11371,113710000,113.71,3.22211359997733
"Syangja","Very High",8144,81440000,81.44,4.90986917465485
"Tanahu","Very High",12844,128440000,128.44,4.95597348376691
"Taplejung","Very High",12023,120230000,120.23,4.75913391125361
"Terhathum","Very High",4976,49760000,49.76,6.34758648841719
"Udayapur","Very High",11243,112430000,112.43,3.53537894558101
"Achham","Very Low",98108,981080000,981.08,40.8383457864175
"Arghakhanchi","Very Low",86276,862760000,862.76,40.798607827189
"Baglung","Very Low",101952,1019520000,1019.52,45.5150984839015
"Baitadi","Very Low",86016,860160000,860.16,43.4881087202718
"Bajhang","Very Low",83874,838740000,838.74,41.5577852099591
"Bajura","Very Low",74935,749350000,749.35,38.7569435105976
"Banke","Very Low",144640,1446400000,1446.4,81.5208508287916
"Bara","Very Low",69766,697660000,697.66,83.5821253144842
"Bardiya","Very Low",103683,1036830000,1036.83,75.1821853541103
"Bhaktapur","Very Low",2716,27160000,27.16,38.1675098369871
"Bhojpur","Very Low",78966,789660000,789.66,40.4854189737911
"Chitawan","Very Low",135547,1355470000,1355.47,59.0724268823624
"Dadeldhura","Very Low",156148,1561480000,1561.48,58.3791948316085
"Dailekh","Very Low",86698,866980000,866.98,43.2133102059533
"Dang","Very Low",247588,2475880000,2475.88,62.2462011886684
"Darchula","Very Low",37708,377080000,377.08,37.1657516829458
"Dhading","Very Low",98810,988100000,988.1,38.7797392444211
"Dhankuta","Very Low",43220,432200000,432.2,34.9766929949501
"Dhanusha","Very Low",41008,410080000,410.08,75.6940342587123
"Dolakha","Very Low",61583,615830000,615.83,37.9404244832579
"Dolpa","Very Low",7324,73240000,73.24,13.9215723545401
"Doti","Very Low",177598,1775980000,1775.98,53.0956360037909
"Gorkha","Very Low",97735,977350000,977.35,37.6535266832072
"Gulmi","Very Low",59684,596840000,596.84,36.7060270602706
"Humla","Very Low",21772,217720000,217.72,26.7554747216556
"Ilam","Very Low",95938,959380000,959.38,37.2366521246371
"Jajarkot","Very Low",97610,976100000,976.1,42.5980396435398
"Jhapa","Very Low",21504,215040000,215.04,39.3947165939985
"Jumla","Very Low",29569,295690000,295.69,17.2707042269974
"Kabhrepalanchok","Very Low",79624,796240000,796.24,41.9869225901708
"Kailali","Very Low",269336,2693360000,2693.36,62.724969258859
"Kalikot","Very Low",65098,650980000,650.98,32.7477790186432
"Kanchanpur","Very Low",106922,1069220000,1069.22,76.7302006487355
"Kapilbastu","Very Low",93306,933060000,933.06,71.8855452318218
"Kaski","Very Low",56865,568650000,568.65,40.2729481086977
"Kathmandu","Very Low",10699,106990000,106.99,42.4075468706647
"Khotang","Very Low",78470,784700000,784.7,40.2914415987184
"Lalitpur","Very Low",25006,250060000,250.06,46.4743708880051
"Lamjung","Very Low",72361,723610000,723.61,45.6113257735728
"Mahottari","Very Low",35830,358300000,358.3,83.8246303574771
"Makawanpur","Very Low",196622,1966220000,1966.22,53.7781339489138
"Manang","Very Low",1726,17260000,17.26,16.3819286256644
"Morang","Very Low",61294,612940000,612.94,59.820034353529
"Mugu","Very Low",30283,302830000,302.83,31.50409887229
"Mustang","Very Low",503,5030000,5.03,7.0755380503587
"Myagdi","Very Low",72336,723360000,723.36,45.3724902306385
"Nawalpur","Very Low",104842,1048420000,1048.42,53.3922041942942
"Nuwakot","Very Low",54641,546410000,546.41,37.9915730337079
"Okhaldhunga","Very Low",48358,483580000,483.58,39.8414843132085
"Palpa","Very Low",106088,1060880000,1060.88,41.7426066701292
"Panchthar","Very Low",86464,864640000,864.64,47.259966986237
"Parasi","Very Low",26728,267280000,267.28,56.7521657890267
"Parbat","Very Low",37532,375320000,375.32,45.8087194258653
"Parsa","Very Low",67924,679240000,679.24,71.8985519519011
"Pyuthan","Very Low",71462,714620000,714.62,40.1016823604673
"Ramechhap","Very Low",50818,508180000,508.18,35.3789708923064
"Rasuwa","Very Low",23522,235220000,235.22,35.1363059227724
"Rautahat","Very Low",45206,452060000,452.06,79.4369860125114
"Rolpa","Very Low",113486,1134860000,1134.86,47.2248345886563
"Rukum East","Very Low",42597,425970000,425.97,37.1834600511527
"Rukum West","Very Low",54520,545200000,545.2,42.8313300337811
